time,high,low,open,close,volumefrom,volumeto
1430179200,229.87,222.03,228.96,225.81,65971.19,14896418.52
1430265600,227.24,222.25,225.81,225.42,60889.41,13743340.35
1430352000,240.01,224.68,225.42,235.77,112238.62,26242196.77
1430438400,239.42,232.38,235.77,233.21,60139.08,14178420.18
1430524800,236.38,231.73,233.21,235.34,37075.6,8703582.59
1430611200,243.58,233.8,235.34,239.99,55715.89,13389153.76
1430697600,243.2,237.45,239.99,238.97,69115.5,16599243.56
1430784000,239.61,231.78,238.97,235.82,77868.42,18333196.41
1430870400,237.15,228.24,235.82,230.03,103664.18,24127653.28
1430956800,240.25,228.33,230.03,237.73,91051.83,21315971.39
1431043200,247.01,235.77,237.73,243.74,87502.6,21226000.84
1431129600,247.87,238.52,243.74,241.4,62786.96,15281109.27
1431216000,244.82,238.23,241.4,239.96,44003.2,10634289.99
1431302400,243.95,238.86,239.96,241.81,57165.49,13819530.94
1431388800,243,239.18,241.81,241.58,40080.32,9712214.4
1431475200,243.91,234.07,241.58,236.38,84427.04,20329395.15
1431561600,239.17,232.36,236.38,236.9,71016.47,16833656.66
1431648000,238.83,235.53,236.9,237.2,46029.85,10932777.42
1431734400,237.78,234.57,237.2,236.23,27053.46,6415070.12
1431820800,237.77,235.35,236.23,236.3,28432.51,6738302.37
1431907200,237.1,231.46,236.3,232.64,53141.78,12516261.2
1431993600,234.5,231.27,232.64,232.02,40937.49,9550029.29
1432080000,235.17,231.47,232.02,233.96,49689.83,11626735.04
1432166400,236.65,233.61,233.96,235.38,42934.55,10114419.29
1432252800,242,234.56,235.38,240.37,74109.92,17630641.48
1432339200,241.73,238.05,240.37,238.94,36028.98,8659651.42
1432425600,242.39,237.48,238.94,240.98,30256.48,7278251.72
1432512000,241.79,235.81,240.98,237.41,26385.48,6301300.86
1432598400,238.99,235.58,237.41,237.84,37077.02,8842430.86
1432684800,238.95,235.89,237.84,237.29,48026.76,11445501.96
1432771200,238.41,236.23,237.29,237.32,35748.86,8508673.17
1432857600,237.89,235.13,237.32,237.03,38923.78,9241377
1432944000,237.06,231.59,237.03,233.22,41630.86,9738568.03
1433030400,233.99,229.13,233.22,229.84,38997.51,9036624.56
1433116800,231.76,220.97,229.84,223.14,87057.03,19658919.58
1433203200,227.44,222.25,223.14,225.74,60804.73,13666049.75
1433289600,227.86,223.69,225.74,225.59,54353.18,12279838.72
1433376000,226.71,223.49,225.59,224.22,44055.99,9934190.66
1433462400,226.36,222.15,224.22,225.29,56455.17,12703848.43
1433548800,225.76,223.53,225.29,224.74,22467.76,5074897.56
1433635200,226.36,222.21,224.74,223.47,40481.39,9097310.34
1433721600,229.91,222.99,223.47,228.57,74152.69,16824026.1
1433808000,231.36,227.51,228.57,229.56,54837.44,12617632.43
1433894400,230.44,227.84,229.56,228.79,41639.32,9556657.69
1433980800,230.64,228.54,228.79,229.88,38004.06,8745318.46
1434067200,231.58,229.29,229.88,230.46,40744.82,9406856.66
